1	program		1	0
1	verylongthing		70	74
1	(		60	67
1	input		60	100
1	,		60	59
1	output		60	100
1	)		60	68
1	;		60	69
2	var		2	0
2	x		60	100
2	,		60	59
2	y		60	100
2	:		60	64
2	integer		5	0
2	;		60	69
3	x		60	100
3	:=		60	63
3	012		70	73
3	;		60	69
4	y		60	100
4	:=		60	63
4	12345678987		70	71
5	var		2	0
5	z		60	100
5	,		60	59
5	z		60	100
5	:		60	64
5	real		6	0
5	;		60	69
6	z		60	100
6	:=		60	63
6	283456.738987E997		70	81
7	var		2	0
7	warningnum		60	100
7	:		60	64
7	integer		5	0
7	;		60	69
8	warningnum		60	100
8	:=		60	63
8	458.580999		70	76
9	132435.984736E777		70	81
10	075755		70	73
11	@		70	90
11	$		70	90
11	$		70	90
12	.		60	62
0	EOF		60	15
