1	program		1	0
1	example2		100	100
1	(		67	67
1	input		100	100
1	,		59	59
1	output		100	100
1	)		68	68
1	;		69	69
2	var		2	0
2	temp		100	100
2	:		64	64
2	real		22	20
2	;		69	69
3	var		2	0
3	hold		100	100
3	:		64	64
3	integer		21	20
3	;		69	69
4	procedure		6	0
4	lcd		100	100
4	(		67	67
4	b		100	100
4	:		64	64
4	integer		21	20
4	)		68	68
4	;		69	69
5	procedure		6	0
5	gcd		100	100
5	(		67	67
5	a		100	100
5	:		64	64
5	real		22	20
5	)		68	68
5	;		69	69
6	begin		7	0
7	end		8	0
7	;		69	69
8	begin		7	0
9	if		9	0
9	b		100	100
9	=		50	51
9	0		20	21
9	then		10	0
9	lcd		100	100
9	:=		63	63
9	temp		100	100
10	else		11	0
10	call		5	0
10	lcd		100	100
10	(		67	67
10	b		100	100
10	,		59	59
10	hold		100	100
10	mod		30	34
10	temp		100	100
10	)		68	68
11	end		8	0
11	;		69	69
13	begin		7	0
14	call		5	0
14	read		100	100
14	(		67	67
14	x		100	100
14	,		59	59
14	y		100	100
14	)		68	68
14	;		69	69
15	call		5	0
15	write		100	100
15	(		67	67
15	x		100	100
15	,		59	59
15	y		100	100
15	)		68	68
16	end		8	0
16	.		62	62
17	EOF		15	15
